category,image,model,roi_id,area_px,mean_intensity,gap_with_prev_roi
Impossible objects,cmp_penrose_triangle.png,v3,2,2046,235.3,48.9
Impossible objects,cmp_penrose_triangle_adapted.png,orig,1,924,174.53,0.0
Impossible objects,cmp_penrose_triangle_adapted.png,v1,1,924,100.4,0.0
Impossible objects,cmp_penrose_triangle_adapted.png,v2,1,924,105.69,0.0
Impossible objects,cmp_penrose_triangle_adapted.png,v3,1,924,137.68,0.0
Impossible objects,cmp_penrose_triangle_adapted.png,orig,2,616,144.5,30.03
Impossible objects,cmp_penrose_triangle_adapted.png,v1,2,616,71.79,28.61
Impossible objects,cmp_penrose_triangle_adapted.png,v2,2,616,69.47,36.22
Impossible objects,cmp_penrose_triangle_adapted.png,v3,2,616,124.91,12.77
Impossible objects,cmp_penrose_triangle_zoomed.png,orig,1,19570,149.41,0.0
Impossible objects,cmp_penrose_triangle_zoomed.png,v1,1,19570,205.62,0.0
Impossible objects,cmp_penrose_triangle_zoomed.png,v2,1,19570,194.92,0.0
Impossible objects,cmp_penrose_triangle_zoomed.png,v3,1,19570,226.8,0.0
Impossible objects,cmp_penrose_triangle_zoomed.png,orig,2,5610,184.67,35.26
Impossible objects,cmp_penrose_triangle_zoomed.png,v1,2,5610,96.24,109.38
Impossible objects,cmp_penrose_triangle_zoomed.png,v2,2,5610,105.15,89.77
Impossible objects,cmp_penrose_triangle_zoomed.png,v3,2,5610,173.64,53.16
---,CATEGORY: SHADING AND ILLUMINATION,---,---,---,---,---
Shading and illumination,cmp_zebra_crossing.png,orig,1,3240,134.35,0.0
Shading and illumination,cmp_zebra_crossing.png,v1,1,3240,136.86,0.0
Shading and illumination,cmp_zebra_crossing.png,v2,1,3240,143.03,0.0
Shading and illumination,cmp_zebra_crossing.png,v3,1,3240,228.49,0.0
Shading and illumination,cmp_zebra_crossing.png,orig,2,1581,204.88,70.53
Shading and illumination,cmp_zebra_crossing.png,v1,2,1581,79.07,57.79
Shading and illumination,cmp_zebra_crossing.png,v2,2,1581,85.68,57.35
Shading and illumination,cmp_zebra_crossing.png,v3,2,1581,213.01,15.48
---,CATEGORY: CONVERGING LINES,---,---,---,---,---
---,CATEGORY: DEPTH AMBIGUITY,---,---,---,---,---
---,CATEGORY: FORCED PERSPECTIVE,---,---,---,---,---
---,CATEGORY: IMPOSSIBLE OBJECTS,---,---,---,---,---
---,CATEGORY: SHADING AND ILLUMINATION,---,---,---,---,---
---,CATEGORY: CONVERGING LINES,---,---,---,---,---
---,CATEGORY: DEPTH AMBIGUITY,---,---,---,---,---
---,CATEGORY: FORCED PERSPECTIVE,---,---,---,---,---
Forced perspective,cmp_depth_incongruence.png,orig,1,7755,40.24,0.0
Forced perspective,cmp_depth_incongruence.png,v1,1,7755,60.42,0.0
Forced perspective,cmp_depth_incongruence.png,v2,1,7755,67.38,0.0
Forced perspective,cmp_depth_incongruence.png,v3,1,7755,185.19,0.0
Forced perspective,cmp_depth_incongruence.png,orig,2,13760,40.79,0.55
Forced perspective,cmp_depth_incongruence.png,v1,2,13760,40.67,19.75
Forced perspective,cmp_depth_incongruence.png,v2,2,13760,48.66,18.72
Forced perspective,cmp_depth_incongruence.png,v3,2,13760,192.2,7.01
---,CATEGORY: IMPOSSIBLE OBJECTS,---,---,---,---,---
---,CATEGORY: SHADING AND ILLUMINATION,---,---,---,---,---
