Category,Image_Base,Model,Point_ID,X,Y,Intensity
depth_ambiguity,cmp_sun_silhouette.jpeg,v2,1,2323,536,20
depth_ambiguity,cmp_sun_silhouette.jpeg,v3,1,3274,536,86
depth_ambiguity,cmp_sun_silhouette.jpeg,orig,2,219,409,1
depth_ambiguity,cmp_sun_silhouette.jpeg,v1,2,1170,409,113
depth_ambiguity,cmp_sun_silhouette.jpeg,v2,2,2121,409,95
depth_ambiguity,cmp_sun_silhouette.jpeg,v3,2,3072,409,129
depth_ambiguity,cmp_sun_silhouette.jpeg,orig,3,288,628,81
depth_ambiguity,cmp_sun_silhouette.jpeg,v1,3,1239,628,13
depth_ambiguity,cmp_sun_silhouette.jpeg,v2,3,2190,628,20
depth_ambiguity,cmp_sun_silhouette.jpeg,v3,3,3141,628,19
forced_perspective,cmp_Ames_room_forced_perspective.jpg,orig,1,375,548,111
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v1,1,1367,548,40
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v2,1,2359,548,49
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v3,1,3351,548,108
forced_perspective,cmp_Ames_room_forced_perspective.jpg,orig,2,654,552,14
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v1,2,1646,552,8
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v2,2,2638,552,17
forced_perspective,cmp_Ames_room_forced_perspective.jpg,v3,2,3630,552,51
forced_perspective,cmp_anamorphic_hole.jpeg,orig,1,222,711,106
forced_perspective,cmp_anamorphic_hole.jpeg,v1,1,1190,711,101
forced_perspective,cmp_anamorphic_hole.jpeg,v2,1,2158,711,95
forced_perspective,cmp_anamorphic_hole.jpeg,v3,1,3126,711,239
forced_perspective,cmp_anamorphic_hole.jpeg,orig,2,356,744,162
forced_perspective,cmp_anamorphic_hole.jpeg,v1,2,1324,744,73
forced_perspective,cmp_anamorphic_hole.jpeg,v2,2,2292,744,86
forced_perspective,cmp_anamorphic_hole.jpeg,v3,2,3260,744,240
forced_perspective,cmp_Beuchet_chair.jpg,orig,1,387,804,74
forced_perspective,cmp_Beuchet_chair.jpg,v1,1,1360,804,136
forced_perspective,cmp_Beuchet_chair.jpg,v2,1,2333,804,140
forced_perspective,cmp_Beuchet_chair.jpg,v3,1,3306,804,176
forced_perspective,cmp_Beuchet_chair.jpg,orig,2,420,745,64
forced_perspective,cmp_Beuchet_chair.jpg,v1,2,1393,745,63
forced_perspective,cmp_Beuchet_chair.jpg,v2,2,2366,745,51
forced_perspective,cmp_Beuchet_chair.jpg,v3,2,3339,745,151
forced_perspective,cmp_Beuchet_chair.jpg,orig,3,348,637,65
forced_perspective,cmp_Beuchet_chair.jpg,v1,3,1321,637,23
forced_perspective,cmp_Beuchet_chair.jpg,v2,3,2294,637,33
forced_perspective,cmp_Beuchet_chair.jpg,v3,3,3267,637,21
forced_perspective,cmp_Escaping Criticism.jpg,orig,1,315,427,203
forced_perspective,cmp_Escaping Criticism.jpg,v1,1,1296,427,132
forced_perspective,cmp_Escaping Criticism.jpg,v2,1,2277,427,184
forced_perspective,cmp_Escaping Criticism.jpg,v3,1,3258,427,176
forced_perspective,cmp_Escaping Criticism.jpg,orig,2,297,519,198
forced_perspective,cmp_Escaping Criticism.jpg,v1,2,1278,519,86
forced_perspective,cmp_Escaping Criticism.jpg,v2,2,2259,519,49
forced_perspective,cmp_Escaping Criticism.jpg,v3,2,3240,519,176
forced_perspective,cmp_Escaping Criticism.jpg,orig,3,403,545,77
forced_perspective,cmp_Escaping Criticism.jpg,v1,3,1384,545,97
forced_perspective,cmp_Escaping Criticism.jpg,v2,3,2365,545,87
forced_perspective,cmp_Escaping Criticism.jpg,v3,3,3346,545,96
forced_perspective,cmp_leaned_tower.jpg,orig,1,329,784,246
forced_perspective,cmp_leaned_tower.jpg,v1,1,1321,784,166
forced_perspective,cmp_leaned_tower.jpg,v2,1,2313,784,179
forced_perspective,cmp_leaned_tower.jpg,v3,1,3305,784,169
forced_perspective,cmp_leaned_tower.jpg,orig,2,325,353,231
forced_perspective,cmp_leaned_tower.jpg,v1,2,1317,353,27
forced_perspective,cmp_leaned_tower.jpg,v2,2,2309,353,80
forced_perspective,cmp_leaned_tower.jpg,v3,2,3301,353,90
forced_perspective,cmp_leaned_tower.jpg,orig,3,683,782,245
forced_perspective,cmp_leaned_tower.jpg,v1,3,1675,782,168
forced_perspective,cmp_leaned_tower.jpg,v2,3,2667,782,181
forced_perspective,cmp_leaned_tower.jpg,v3,3,3659,782,144
forced_perspective,cmp_leaned_tower.jpg,orig,4,813,386,187
forced_perspective,cmp_leaned_tower.jpg,v1,4,1805,386,36
forced_perspective,cmp_leaned_tower.jpg,v2,4,2797,386,88
forced_perspective,cmp_leaned_tower.jpg,v3,4,3789,386,90
forced_perspective,cmp_salar_uyuni.jpeg,orig,1,663,674,19
forced_perspective,cmp_salar_uyuni.jpeg,v1,1,1655,674,17
forced_perspective,cmp_salar_uyuni.jpeg,v2,1,2647,674,30
forced_perspective,cmp_salar_uyuni.jpeg,v3,1,3639,674,191
forced_perspective,cmp_salar_uyuni.jpeg,orig,2,473,590,31
forced_perspective,cmp_salar_uyuni.jpeg,v1,2,1465,590,82
forced_perspective,cmp_salar_uyuni.jpeg,v2,2,2457,590,84
